corr,filtro,psu,region,p1_1,p1_2,p1_3,p2,p3,p4,p5,p6,p7,p7a,p7t,p8,p8a,p8t,p9,p9a,p9t,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p11_7,p11_8,p11_9,p11_10,p11_11,p11_12,p11_13,p11_14,p11_15,p11_16,p11_17,p11_18,p11_19,p11_20,p11_21,p11_22,p11_23,p11_24,p11_25,p12,p13_a,p13_b,p13_c,p13_d,p13_e,p13_f,p14,p15,p16,p17_a,p17_b,p17_c,p17_d,p17_e,p17_f,p17_g,p17_h,p17_i,p17_j,p17_k,p17_l,p17_m,p17_n,p18_a,p18_b,p18_c,p18_d,p18_e,p19,p20,p21,p22,p23,p24,p25,p26,p27_a,p27_b,p28_a,p28_b,te1,te2_a,te2_b,te2_c,te2_d,te2_e,te2_1,te3_a,te3_b,te3_c,te3_d,te3_e,te3_f,te3_g,te3_h,te3_i,te3_j,te4_a,te4_b,te4_c,te4_d,te5,te6,te7_a,te7_b,te7_c,te7_d,te7_e,te7_f,te7_g,te7_h,te7_i,te7_j,te8,te9_1,te9_2,te9_3,te10_1,te10_2,te10_3,te11_1,te11_2,te11_3,te12,te13,te14,te15,te16,te17,te18,te19_1,te19_2,te19_3,te20_a,te20_b,te21,te22,te23,te24,de1,de2,de2_a,de3,de4,de5,de5_c,de6,de7,de8,de9,de10,de11,de12,de13_a,de13_b,de13_c,de13_d,de13_e,de13_f,de13_g,de13_h,de13_i,de13_j,de13_k,de13_l,de13_m,de13_n,de13_o,de13_p,de14_a,de14_b,de14_c,de14_d,de14_e,de14_f,de15,de16,de17,b5,pond
1225,724,119,9,3,6,2,2,2,2,1,1,9,9,9,5,5,5,9,9,9,3,3,2,4,2,1,2,3,3,3,4,2,1,4,4,3,1,4,1,3,4,3,3,3,1,3,99,1,1,1,1,1,1,49,26,9,3,4,9,3,3,4,3,3,3,3,3,3,3,3,4,1,5,4,5,4,6,5,4,5,,8,2,2,,8,,2,1,1,1,8,1,8,1,8,1,1,2,2,1,1,9,1,1,2,2,2,5,2,3,3,2,4,3,4,3,3,3,2,1,1,2,8,,,,88,88,88,2,,,,,,,,,,,,2,1,2,2,1,56,1946-09-09T00:00:00Z,1,2,4,2,3,4,1,4,5,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,4,4,3,1,1.05536282062531
1226,725,119,9,5,6,7,4,2,1,9,2,1,,1,2,,2,8,2,2,3,2,3,3,3,2,3,2,4,2,4,4,4,4,3,3,3,4,2,4,4,9,3,3,3,4,1,2,2,1,3,1,1,39,22,1,4,3,1,4,3,3,2,3,3,3,2,3,3,3,5,5,3,3,2,2,2,1,2,2,2,3,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,5,2,2,2,4,4,2,3,2,3,2,2,2,,,,2,3,4,6,3,4,3,,,,,,,,,,,,1,1,2,2,1,27,1975-09-02T00:00:00Z,3,12,8,4,1,5,5,3,5,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,5,3,3,1,1.20403659343719
1227,735,120,9,10,88,99,2,3,3,9,2,9,9,9,5,5,5,8,8,8,8,6,6,6,6,6,6,6,6,6,3,6,6,2,4,6,6,6,6,6,6,6,6,6,6,6,88,1,1,1,1,1,1,48,25,8,2,3,8,8,4,4,9,2,8,8,8,8,9,4,,,,,,8,8,,,,,8,8,8,,8,,2,8,8,8,1,1,5,8,8,8,1,2,1,2,2,2,2,2,2,2,2,,8,8,8,8,8,2,4,2,8,8,8,8,,,,,,,88,99,99,2,,,,,,,,,,,,8,1,8,2,2,79,1924-05-17T00:00:00Z,6,0,1,0,8,3,1,2,9,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0.746192216873169
1228,744,121,9,9,14,5,2,1,1,9,9,9,9,9,5,5,5,7,7,7,3,3,3,4,6,6,3,6,6,2,3,3,3,4,2,3,2,6,3,2,2,6,3,6,6,3,9,2,1,2,2,1,1,48,13,5,3,3,3,4,3,3,3,4,3,4,3,4,3,3,4,4,3,3,2,3,2,6,4,,,3,1,8,,2,,2,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,1,8,8,8,4,3,3,2,5,4,3,2,3,3,4,2,2,,,,1,2,4,1,3,4,3,,,,,,,,,,,,1,1,2,8,1,18,1984-10-29T00:00:00Z,3,12,5,4,7,1,9,5,9,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,9,4,3,1,1.25462162494659
1229,756,122,9,7,6,4,2,2,8,1,1,9,9,9,2,,2,7,7,7,3,4,6,6,6,6,6,6,6,6,4,6,4,1,3,1,3,6,8,8,6,6,8,6,8,4,2,1,1,1,1,1,1,36,25,8,4,1,1,3,2,2,3,2,2,8,2,3,3,2,6,4,5,5,7,2,4,6,6,,,1,2,2,,8,,2,1,1,2,1,1,5,1,1,2,2,2,2,2,2,2,1,2,1,1,1,5,1,4,2,3,1,2,1,1,1,1,1,2,,,,6,2,9,8,6,3,1,4,,2,,2,2,,,,1,1,2,1,2,2,2,38,1965-06-20T00:00:00Z,5,6,4,6,3,2,2,8,9,1,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,7,5,1,0.78246146440506
1230,757,122,9,3,14,5,3,2,2,9,2,9,9,9,9,9,9,9,9,9,3,5,3,5,4,4,1,9,3,5,3,9,4,4,4,4,1,4,4,3,5,6,4,3,4,3,99,2,2,1,1,1,1,49,26,9,2,2,3,2,3,4,3,3,3,3,3,3,3,3,4,4,5,4,5,3,6,5,6,4,4,9,9,9,,9,,2,2,1,1,1,1,2,1,1,1,1,2,9,2,2,1,2,1,2,1,1,5,1,3,2,2,2,2,3,4,3,4,3,2,,,,9,2,3,3,9,1,1,2,,2,,3,2,,,,1,1,2,1,2,2,2,32,1971-06-07T00:00:00Z,1,17,15,5,1,9,2,7,9,1,3,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,11,5,3,1,1.02533006668091
1231,758,122,9,5,10,13,2,3,3,9,9,9,9,9,8,8,8,7,7,7,2,4,4,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3,3,3,99,1,1,1,1,1,1,22,13,4,1,9,3,3,8,3,3,2,3,3,3,3,3,2,5,3,6,2,2,2,6,5,3,5,3,9,9,9,,9,,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,5,2,1,2,1,4,1,1,1,4,1,2,1,3,6,11,,,,1,3,4,1,5,,1,2,1,1,2,,,1,1,2,1,2,2,2,32,1970-08-28T00:00:00Z,1,10,5,2,9,99,1,2,9,1,5,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,7,5,3,1,1.02533006668091
1232,759,122,9,6,3,5,3,2,8,1,8,9,9,9,5,5,5,6,6,6,8,8,2,2,6,6,3,2,8,8,3,3,2,4,4,2,4,6,6,2,2,6,6,6,3,3,88,1,1,1,1,1,1,48,25,4,3,4,3,3,4,4,4,2,4,4,4,8,2,4,1,1,1,1,4,4,8,,,,,8,8,8,,8,,2,1,8,2,2,1,8,1,1,1,1,2,2,2,2,1,1,1,8,1,1,5,3,2,8,4,2,2,3,2,8,3,4,9,,,,,,,1,5,10,2,,,,,,,,,,,,8,1,2,2,2,70,1932-08-15T00:00:00Z,3,3,4,3,8,3,1,5,9,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,1,0.746192216873169
1233,760,122,9,6,11,5,3,1,1,8,9,9,9,9,5,5,5,7,7,7,3,3,3,2,6,6,6,6,3,6,4,3,2,4,4,8,3,6,6,3,6,6,6,6,3,2,9,2,1,1,1,1,1,48,13,8,4,1,2,3,3,2,2,2,3,4,3,3,2,3,5,2,6,6,6,2,3,,,,,3,8,2,,2,,2,8,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,2,4,3,4,3,3,2,2,3,3,8,,,,,,,10,5,1,3,,,,,,,,,,,,2,1,2,1,1,25,1978-05-28T00:00:00Z,3,9,5,1,3,1,2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,88,6,4,1,1.20403659343719
1234,893,141,12,7,3,10,3,2,2,1,1,1,,1,2,,2,3,,3,1,5,3,5,3,4,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,6,6,6,4,4,88,2,2,1,1,1,1,30,13,4,1,3,1,1,1,1,1,1,1,3,1,1,1,1,5,3,5,5,5,2,6,5,5,5,5,8,2,2,,2,,1,2,2,8,1,1,4,1,1,2,1,2,2,2,2,1,1,1,2,2,1,5,2,2,3,2,4,2,3,2,8,8,3,1,10,1,8,,,,3,5,8,1,5,,1,4,1,2,,,,1,1,2,1,1,2,1,55,1948-02-13T00:00:00Z,1,12,8,4,1,11,1,5,9,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,11,5,2,1,1.05536282062531
1235,896,142,13,5,7,6,3,3,2,2,2,2,,2,1,,1,2,,2,1,5,2,5,3,4,6,2,3,3,4,3,4,2,4,3,3,4,4,3,4,6,3,4,6,4,2,1,2,3,1,3,1,30,25,4,4,4,3,3,3,3,3,2,3,3,3,2,2,3,5,5,4,4,4,4,2,1,1,1,1,1,2,2,,2,,1,1,8,2,2,8,1,1,8,1,8,8,1,1,8,8,8,2,2,2,1,5,2,2,3,4,3,3,4,3,2,3,3,2,,,,3,1,5,10,3,1,3,,,,,,,,,,,,2,1,2,2,2,24,1978-11-28T00:00:00Z,3,16,15,4,7,1,11,8,9,1,3,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,99,3,2,1,1.15786373615265
1236,897,142,13,7,10,11,3,2,2,1,1,1,,1,2,,2,4,,4,3,4,2,4,3,3,2,3,2,4,2,3,4,3,3,3,2,4,3,2,4,3,4,4,3,2,1,2,1,1,1,1,1,48,25,1,2,2,3,3,2,3,2,2,3,2,3,3,2,3,4,4,3,4,4,4,6,1,1,1,1,8,2,8,,8,,2,1,2,2,1,1,2,8,8,8,8,8,8,8,8,8,8,1,2,2,2,4,2,3,4,4,2,2,2,4,3,3,3,1,1,9,4,,,,1,5,8,3,,,,,,,,,,,,2,1,1,1,2,49,1954-04-27T00:00:00Z,6,12,6,6,8,99,1,5,9,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,99,1,2,1,1.0433714389801
1237,919,146,13,3,7,11,2,2,2,1,3,9,9,9,2,,2,3,,3,3,5,3,5,2,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,6,4,6,3,3,7,1,2,1,1,1,1,39,25,8,2,8,4,4,4,3,8,3,3,4,3,3,3,2,2,2,3,2,4,3,6,5,4,4,,8,8,1,2,8,,2,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,2,3,4,2,4,3,3,4,4,3,3,2,,,,3,9,1,6,10,3,2,,,,,,,,,,,,2,1,2,2,2,60,1943-06-07T00:00:00Z,6,12,5,4,1,9,1,2,9,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,10,6,3,1,0.746192216873169
1238,963,155,13,11,13,10,3,1,2,8,2,9,9,9,5,5,5,7,7,7,3,3,3,3,3,6,6,3,3,6,2,4,4,3,2,3,2,4,4,3,2,6,6,6,3,6,88,2,2,2,2,1,1,48,25,8,4,3,4,4,2,3,4,3,3,4,3,3,2,1,5,4,3,3,4,2,1,4,4,3,4,1,2,2,,2,,2,1,1,2,1,2,4,1,1,2,2,2,2,1,1,1,1,1,1,2,1,5,3,4,4,4,2,3,3,3,4,3,3,2,,,,6,4,1,3,9,1,1,5,,1,4,2,1,1,,,1,1,1,1,3,2,2,40,1962-08-07T00:00:00Z,1,17,15,5,2,9,1,5,9,1,3,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,9,3,4,1,0.78246146440506
1239,964,155,13,10,5,2,2,1,8,8,8,88,88,88,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,88,1,1,1,1,1,1,48,25,9,1,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,9,9,,,,,9,9,2,,2,,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,8,8,8,8,,9,8,8,8,8,8,8,8,8,8,8,8,,,,,,,1,5,3,2,,,,,,,,,,,,8,1,1,1,2,69,1934-01-01T00:00:00Z,6,12,6,6,9,99,1,8,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,4,4,1,0.746192216873169
1240,1022,167,13,3,6,8,3,2,1,2,1,4,,4,1,,1,1,,1,3,2,1,4,3,3,3,2,4,4,3,2,3,4,3,4,2,3,3,3,3,3,4,4,2,3,2,3,3,3,1,1,1,48,25,4,1,3,2,3,3,3,3,2,2,3,3,2,3,2,5,5,4,4,5,2,2,5,4,4,5,1,2,1,9,2,,3,2,1,2,1,1,5,1,2,1,1,2,2,1,1,1,2,1,2,2,1,5,3,2,4,2,4,1,4,2,5,2,3,2,,,,4,1,9,1,3,5,3,,,,,,,,,,,,2,1,1,2,1,30,1973-10-21T00:00:00Z,3,17,15,8,2,10,1,4,9,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,11,3,2,1,1.20403659343719
1241,1024,167,13,3,6,9,2,2,2,1,1,9,9,9,5,5,5,7,7,7,1,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,8,2,3,3,5,3,3,3,88,2,2,2,2,1,1,48,25,8,3,8,9,3,3,4,3,3,3,4,3,3,2,2,5,6,6,5,5,4,6,4,4,4,1,3,1,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,5,1,2,4,2,4,2,4,2,4,2,4,2,,,,1,2,4,1,5,6,1,1,60000,2,,1,1,2,,,1,1,2,1,1,2,2,39,1963-12-07T00:00:00Z,1,18,15,8,1,10,1,8,9,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,11,5,3,1,0.78246146440506
1242,1048,172,13,7,9,13,3,2,2,8,1,5,,5,8,8,8,7,7,7,2,4,5,4,6,6,2,6,6,4,4,4,6,4,2,2,2,4,2,2,2,6,6,6,6,4,7,2,1,1,1,1,1,48,25,8,2,4,4,4,3,1,3,2,3,3,4,3,3,2,4,1,6,2,4,4,2,5,3,3,3,2,2,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,4,2,2,2,2,2,3,4,3,2,1,7,2,10,,,,1,7,6,3,,,,,,,,,,,,2,1,3,2,1,60,1942-08-20T00:00:00Z,1,6,4,6,9,1,1,6,9,1,3,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,3,4,1,1.05536282062531
1243,1049,172,13,10,9,7,2,8,2,8,8,88,88,88,9,9,9,9,9,9,9,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,6,88,1,1,1,1,1,1,49,26,8,3,8,3,3,3,3,3,3,3,4,3,4,1,3,1,3,2,1,2,4,8,2,2,2,2,8,8,8,,8,,2,1,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,2,2,8,4,8,3,3,3,3,3,3,3,3,3,3,8,,,,,,,2,6,9,3,,,,,,,,,,,,2,1,1,2,1,21,1982-02-16T00:00:00Z,3,7,4,7,5,1,9,8,5,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,4,1,1.25462162494659
1244,1072,177,13,9,6,7,3,1,1,8,8,88,88,88,5,5,5,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,88,1,1,1,1,1,1,48,25,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,6,8,8,,,,,8,8,8,,8,,8,8,8,8,8,8,8,2,1,1,1,8,1,1,1,1,1,1,2,2,2,5,2,8,8,8,8,8,8,8,8,8,8,8,,,,,,,88,88,88,2,,,,,,,,,,,,8,8,8,1,1,31,1971-12-27T00:00:00Z,2,12,5,4,2,5,1,7,9,1,3,2,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,5,4,4,1,1.20403659343719
1245,1073,177,13,7,5,13,2,8,1,8,8,88,88,88,5,5,5,7,7,7,1,4,4,3,6,8,3,8,6,8,3,3,3,4,4,3,2,8,3,8,3,6,3,6,4,4,88,1,1,1,1,1,1,22,13,8,3,1,3,3,3,3,3,1,3,4,3,3,3,3,5,4,5,4,5,3,6,,,,,8,1,8,,8,,2,1,1,2,1,1,4,1,1,1,1,1,8,1,1,1,1,1,8,1,2,5,2,2,4,8,4,8,4,2,4,3,2,2,,,,2,3,9,6,3,4,3,,,,,,,,,,,,2,1,1,2,2,25,1978-04-26T00:00:00Z,1,12,5,4,9,1,2,1,9,1,4,2,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,8,2,4,1,1.02533006668091
1246,1074,177,13,11,3,10,2,2,2,2,2,9,9,9,5,5,5,7,7,7,1,8,8,4,8,8,8,1,3,1,1,1,1,1,3,4,1,6,4,4,2,2,8,8,3,2,88,1,1,1,1,1,1,48,25,8,4,3,2,3,3,3,1,2,3,3,3,4,3,3,1,1,2,1,4,4,6,4,4,3,3,8,8,8,,8,,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,8,1,1,5,2,2,5,2,5,3,2,2,2,3,5,2,,,,2,5,3,8,3,5,1,2,8000,1,4,1,2,,,,2,2,2,1,1,2,2,53,1950-01-01T00:00:00Z,6,10,6,4,1,4,2,8,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,6,3,4,1,1.0433714389801
1247,1075,177,13,10,5,11,1,3,2,8,8,88,88,88,8,8,8,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,2,1,1,2,1,1,49,26,9,4,1,4,4,3,3,3,3,4,4,4,4,4,3,2,1,3,2,4,4,6,1,1,1,1,8,8,1,1,1,1,2,2,8,8,1,8,4,1,1,1,1,1,8,1,1,1,1,1,8,1,1,5,2,4,2,2,4,3,4,2,4,3,3,8,,,,,,,4,3,5,2,,,,,,,,,,,,2,1,1,2,1,28,1975-03-10T00:00:00Z,1,14,15,2,1,6,2,8,9,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6,2,4,1,1.20403659343719
1248,1186,200,13,4,7,10,3,2,2,8,2,5,,5,3,,3,5,,5,2,3,4,5,3,2,1,2,1,2,1,3,3,3,1,1,4,3,1,2,2,6,4,6,1,1,3,2,2,2,2,2,2,30,13,4,4,3,4,4,4,4,2,2,3,4,3,4,3,3,5,4,4,5,4,3,6,4,4,3,3,1,2,1,1,2,,2,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,8,1,2,2,2,3,2,3,2,3,3,2,3,4,2,4,3,2,,,,3,4,10,3,6,10,2,,,,,,,,,,,,2,1,2,2,1,25,1977-08-27T00:00:00Z,2,19,15,5,2,4,9,8,9,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,11,7,3,1,1.20403659343719
1249,1207,204,13,3,7,10,3,1,1,2,3,1,,1,2,,2,2,,2,1,3,3,4,6,6,6,6,6,6,6,3,6,4,4,6,3,6,6,6,6,6,6,6,6,6,9,2,2,1,1,1,1,22,13,8,1,1,3,3,3,3,3,1,1,3,3,1,1,3,4,5,6,5,6,2,6,4,4,4,5,1,2,1,2,2,,2,2,1,2,2,2,2,1,2,1,1,2,8,1,1,1,1,1,2,2,2,6,2,2,4,2,4,2,3,3,3,3,3,2,,,,2,10,4,3,1,5,1,2,5000,2,,1,2,,,,1,1,2,1,1,2,2,22,1981-04-14T00:00:00Z,3,11,5,3,5,1,2,8,9,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,7,4,4,1,1.15786373615265
1250,1210,204,13,3,6,5,3,1,1,1,1,9,9,9,5,5,5,7,7,7,1,4,3,4,3,3,6,2,6,3,3,2,3,4,4,6,2,3,4,3,4,3,4,3,3,3,88,2,2,1,1,1,1,48,25,8,2,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,3,6,4,4,4,3,3,2,8,,8,,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,5,2,2,4,2,4,2,4,2,2,3,3,1,3,2,1,,,,1,3,5,1,4,,2,,2,2,,,,1,1,2,1,1,1,1,34,1969-07-09T00:00:00Z,1,12,5,4,1,8,1,8,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,9,4,3,1,1.20403659343719
1251,1213,205,13,3,6,7,1,2,2,2,2,9,9,9,5,5,5,7,7,7,1,2,4,3,8,8,8,8,8,8,4,8,8,2,4,8,1,8,8,8,8,8,8,8,6,8,88,2,2,1,1,1,1,48,25,8,1,4,4,4,4,4,4,3,4,4,4,4,4,2,4,1,5,1,7,4,6,5,4,2,1,1,2,8,,8,,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,7,1,2,4,2,4,2,3,3,3,3,3,2,,,,2,4,3,1,3,5,1,1,80000,2,,1,1,2,,,1,1,2,1,1,2,2,57,1946-03-21T00:00:00Z,5,8,4,8,9,1,1,1,9,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,11,6,4,1,0.746192216873169
1252,1214,205,13,6,11,3,3,1,2,9,3,9,9,9,5,5,5,7,7,7,1,4,2,4,6,8,6,6,6,6,3,3,6,3,3,6,3,8,9,8,8,8,4,8,6,8,9,2,2,1,1,1,1,48,25,8,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,4,4,3,4,2,6,4,4,4,4,3,2,8,,8,,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,4,2,2,4,2,4,2,4,2,2,3,3,2,,,,2,4,7,1,3,5,3,,,,,,,,,,,,2,1,1,1,1,24,1979-07-07T00:00:00Z,3,12,5,4,1,7,1,8,9,1,1,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,10,3,3,1,1.25462162494659
1253,1216,206,13,3,8,10,3,1,2,1,1,9,9,9,5,5,5,3,,3,3,4,5,5,2,3,3,1,1,4,2,2,3,5,4,2,4,3,4,4,2,6,5,6,3,3,88,2,2,3,2,1,1,30,17,4,3,2,3,3,3,3,2,2,3,3,4,3,2,3,4,3,5,5,4,3,6,4,4,3,5,3,2,1,8,2,,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,5,3,2,3,4,5,4,1,2,2,4,4,2,,,,1,7,4,10,6,4,1,2,36000,2,,3,1,1,,,1,1,2,1,1,2,2,38,1965-06-22T00:00:00Z,1,15,15,3,9,2,5,2,9,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,2,12,4,3,1,0.78246146440506
1254,1217,206,13,5,6,7,2,2,2,2,3,4,,4,1,,1,2,,2,1,2,2,4,2,4,4,6,4,6,2,2,2,2,5,4,1,3,4,4,2,2,3,6,2,2,4,3,3,3,3,2,1,22,13,2,2,4,2,4,3,3,4,3,4,4,3,1,1,2,3,1,1,1,4,4,1,3,2,1,5,1,2,2,,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,4,3,3,2,3,3,4,2,2,,,,3,5,4,6,7,11,2,,,,,,,,,,,,2,1,2,2,2,62,1941-06-01T00:00:00Z,1,11,5,3,9,1,1,2,9,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,88,2,2,1,0.746192216873169
1255,1218,206,13,15,9,5,3,1,1,1,1,7,,7,2,,2,5,,5,3,5,4,5,6,2,4,3,4,5,4,4,4,5,3,4,4,4,4,2,3,6,4,6,2,2,7,3,3,2,3,3,1,30,13,1,3,2,2,2,2,3,3,2,1,2,2,2,2,1,5,5,6,6,6,2,2,5,5,5,4,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,6,1,3,2,4,4,2,4,4,4,4,3,2,,,,4,2,3,4,5,9,3,,,,,,,,,,,,2,1,2,2,1,29,1974-06-05T00:00:00Z,3,14,15,2,1,10,2,3,5,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,11,3,3,1,1.20403659343719
1256,1219,206,13,2,6,5,3,3,2,2,2,2,,2,1,,1,1,,1,1,4,2,4,3,4,2,2,2,2,2,6,3,2,4,3,1,3,6,4,4,6,5,6,2,2,2,2,2,2,2,1,1,22,13,2,2,4,2,3,3,4,4,4,4,3,4,3,2,3,1,1,3,1,3,4,5,2,4,2,4,1,2,2,,2,,2,1,1,1,1,1,5,1,1,1,1,8,8,1,1,1,8,1,1,1,8,5,1,4,2,4,2,3,2,3,3,2,4,1,6,2,10,,,,3,2,5,2,,,,,,,,,,,,2,1,3,2,1,24,1979-03-01T00:00:00Z,1,12,5,4,1,99,1,5,9,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,99,4,2,1,1.25462162494659
1257,1220,206,13,10,3,11,2,2,2,8,3,9,9,9,5,5,5,7,7,7,1,4,4,4,2,6,6,6,6,6,3,6,6,3,3,6,3,6,6,2,6,6,4,6,6,3,9,1,1,1,1,1,1,48,25,5,4,4,3,4,3,3,4,3,3,4,3,3,3,3,4,3,4,4,2,8,6,4,4,4,4,2,2,8,,8,,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,3,3,3,3,3,3,3,3,2,,,,1,3,2,3,8,5,3,,,,,,,,,,,,2,1,2,2,1,22,1980-08-08T00:00:00Z,3,12,8,4,1,5,5,2,9,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,8,4,3,1,1.25462162494659
1258,1226,208,13,2,3,5,3,2,1,1,3,9,9,9,2,,2,7,7,7,1,5,3,5,4,2,6,4,2,4,3,6,3,4,2,2,4,3,2,3,4,6,4,6,3,2,5,3,3,2,1,1,1,36,25,4,1,4,2,4,3,3,4,2,2,4,4,4,4,2,2,2,4,6,5,4,2,6,4,4,2,3,2,1,1,1,1,2,1,2,1,1,1,5,2,1,1,2,2,2,2,2,2,2,2,1,1,1,6,1,4,2,3,3,3,3,3,3,3,3,2,,,,1,4,7,3,5,8,2,,,,,,,,,,,,2,1,2,2,2,84,1919-04-15T00:00:00Z,1,6,4,6,8,3,1,2,9,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,5,2,3,1,0.746192216873169
